2025-05-12T19:05:06.620474+0800 INFO Individual Scores:
2025-05-12T19:05:06.621473+0800 INFO Choice 1: nan
2025-05-12T19:05:06.622474+0800 INFO Choice 2: nan
2025-05-12T19:05:06.622474+0800 INFO Choice 3: nan
2025-05-12T19:05:06.622474+0800 INFO Choice 4: nan
2025-05-12T19:05:06.622474+0800 INFO Choice 5: nan
2025-05-12T19:05:06.622474+0800 INFO Choice 6: nan
2025-05-12T19:05:06.623473+0800 INFO Choice 7: nan
2025-05-12T19:05:06.623473+0800 INFO Choice 8: nan
2025-05-12T19:05:06.623473+0800 INFO Choice 9: nan
2025-05-12T19:05:06.623473+0800 INFO Choice 10: nan
2025-05-12T19:05:06.623473+0800 INFO Choice 11: nan
2025-05-12T19:05:06.623473+0800 INFO Choice 12: nan
2025-05-12T19:05:06.624473+0800 INFO Choice 13: nan
2025-05-12T19:05:06.954226+0800 INFO Choice 14: nan
2025-05-12T19:05:06.954226+0800 INFO Choice 15: nan
2025-05-12T19:05:06.955226+0800 INFO Choice 16: nan
2025-05-12T19:05:06.955226+0800 INFO Choice 17: nan
2025-05-12T19:05:06.955226+0800 INFO Choice 18: nan
2025-05-12T19:05:06.955226+0800 INFO Choice 19: nan
2025-05-12T19:05:06.956225+0800 INFO Choice 20: nan
2025-05-12T19:05:06.956225+0800 INFO Choice 21: nan
2025-05-12T19:05:06.956225+0800 INFO Choice 22: nan
2025-05-12T19:05:06.956225+0800 INFO Choice 23: nan
2025-05-12T19:05:06.957228+0800 INFO Choice 24: nan
2025-05-12T19:05:06.957228+0800 INFO Choice 25: nan
2025-05-12T19:05:06.957228+0800 INFO Choice 26: nan
2025-05-12T19:05:06.957228+0800 INFO Choice 27: nan
2025-05-12T19:05:06.958225+0800 INFO Choice 28: nan
2025-05-12T19:05:06.958225+0800 INFO Choice 29: nan
2025-05-12T19:05:06.958225+0800 INFO Choice 30: nan
2025-05-12T19:05:06.958225+0800 INFO Choice 31: nan
2025-05-12T19:05:06.959232+0800 INFO Choice 32: nan
2025-05-12T19:05:06.959232+0800 INFO Choice 33: nan
2025-05-12T19:05:06.959232+0800 INFO Choice 34: nan
2025-05-12T19:05:06.960234+0800 INFO Choice 35: nan
2025-05-12T19:05:06.960234+0800 INFO Choice 36: nan
2025-05-12T19:05:06.960234+0800 INFO Overall Scores:
2025-05-12T19:05:06.961236+0800 INFO Choice 1: nan
2025-05-12T19:05:06.961236+0800 INFO Choice 2: nan
2025-05-12T19:05:06.961236+0800 INFO Choice 3: nan
2025-05-12T19:05:06.962232+0800 INFO Choice 4: nan
2025-05-12T19:05:06.962232+0800 INFO Choice 5: nan
2025-05-12T19:05:06.962232+0800 INFO Choice 6: nan
2025-05-12T19:05:06.962232+0800 INFO Choice 7: nan
2025-05-12T19:05:06.962232+0800 INFO Choice 8: nan
2025-05-12T19:05:06.962232+0800 INFO Choice 9: nan
2025-05-12T19:05:06.963231+0800 INFO Choice 10: nan
2025-05-12T19:05:06.963231+0800 INFO Choice 11: nan
2025-05-12T19:05:06.963231+0800 INFO Choice 12: nan
2025-05-12T19:05:06.963231+0800 INFO Choice 13: nan
2025-05-12T19:05:06.964232+0800 INFO Choice 14: nan
2025-05-12T19:05:06.964232+0800 INFO Choice 15: nan
2025-05-12T19:05:06.964232+0800 INFO Choice 16: nan
2025-05-12T19:05:06.964232+0800 INFO Choice 17: nan
2025-05-12T19:05:06.965232+0800 INFO Choice 18: nan
2025-05-12T19:05:06.965232+0800 INFO Choice 19: nan
2025-05-12T19:05:06.965232+0800 INFO Choice 20: nan
2025-05-12T19:05:06.965232+0800 INFO Choice 21: nan
2025-05-12T19:05:06.965232+0800 INFO Choice 22: nan
2025-05-12T19:05:06.966232+0800 INFO Choice 23: nan
2025-05-12T19:05:06.966232+0800 INFO Choice 24: nan
2025-05-12T19:05:06.966232+0800 INFO Choice 25: nan
2025-05-12T19:05:06.967231+0800 INFO Choice 26: nan
2025-05-12T19:05:06.967231+0800 INFO Choice 27: nan
2025-05-12T19:05:06.967231+0800 INFO Choice 28: nan
2025-05-12T19:05:06.968232+0800 INFO Choice 29: nan
2025-05-12T19:05:06.968232+0800 INFO Choice 30: nan
2025-05-12T19:05:06.968232+0800 INFO Choice 31: nan
2025-05-12T19:05:06.968232+0800 INFO Choice 32: nan
2025-05-12T19:05:06.968232+0800 INFO Choice 33: nan
2025-05-12T19:05:06.969234+0800 INFO Choice 34: nan
2025-05-12T19:05:06.969234+0800 INFO Choice 35: nan
2025-05-12T19:05:06.969234+0800 INFO Choice 36: nan
2025-05-12T19:05:06.969234+0800 INFO Choice 37: nan
2025-05-12T19:05:06.970232+0800 INFO Choice 38: nan
2025-05-12T19:05:06.970232+0800 INFO Choice 39: nan
2025-05-12T19:05:06.970232+0800 INFO Choice 40: nan
2025-05-12T19:05:06.970232+0800 INFO Choice 41: nan
2025-05-12T19:05:06.971234+0800 INFO Choice 42: nan
2025-05-12T19:05:06.971234+0800 INFO Choice 43: nan
2025-05-12T19:05:06.971234+0800 INFO Choice 44: nan
2025-05-12T19:05:06.971234+0800 INFO Choice 45: nan
2025-05-12T19:05:06.971234+0800 INFO Choice 46: nan
2025-05-12T19:05:06.972233+0800 INFO Choice 47: nan
2025-05-12T19:05:06.972233+0800 INFO Choice 48: nan
2025-05-12T19:05:06.972233+0800 INFO Choice 49: nan
2025-05-12T19:05:06.972233+0800 INFO Choice 50: nan
2025-05-12T19:05:06.972233+0800 INFO Choice 51: nan
2025-05-12T19:05:06.973233+0800 INFO Choice 52: nan
2025-05-12T19:05:06.973233+0800 INFO Choice 53: nan
2025-05-12T19:05:06.973233+0800 INFO Choice 54: nan
2025-05-12T19:05:06.974234+0800 INFO Choice 55: nan
2025-05-12T19:05:06.974234+0800 INFO Choice 56: nan
2025-05-12T19:05:06.974234+0800 INFO Choice 57: nan
2025-05-12T19:05:06.974234+0800 INFO Choice 58: nan
2025-05-12T19:05:06.975233+0800 INFO Choice 59: nan
2025-05-12T19:05:06.975233+0800 INFO Choice 60: nan
2025-05-12T19:05:06.975233+0800 INFO Choice 61: nan
2025-05-12T19:05:06.975233+0800 INFO Choice 62: nan
2025-05-12T19:05:06.975233+0800 INFO Choice 63: nan
2025-05-12T19:05:06.976232+0800 INFO Choice 64: nan
2025-05-12T19:05:06.976232+0800 INFO Choice 65: nan
2025-05-12T19:05:06.976232+0800 INFO Choice 66: nan
2025-05-12T19:05:06.976232+0800 INFO Choice 67: nan
2025-05-12T19:05:06.976232+0800 INFO Choice 68: nan
2025-05-12T19:05:06.977390+0800 INFO Choice 69: nan
2025-05-12T19:05:06.977390+0800 INFO Choice 70: nan
2025-05-12T19:05:06.977390+0800 INFO Choice 71: nan
2025-05-12T19:05:06.977390+0800 INFO Choice 72: nan
2025-05-12T19:05:06.977390+0800 INFO Choice 73: nan
2025-05-12T19:05:06.978389+0800 INFO Choice 74: nan
2025-05-12T19:05:06.978389+0800 INFO Choice 75: nan
2025-05-12T19:05:06.978389+0800 INFO Choice 76: nan
2025-05-12T19:05:06.978389+0800 INFO Choice 77: nan
2025-05-12T19:05:06.978389+0800 INFO Choice 78: nan
2025-05-12T19:05:06.978389+0800 INFO Choice 79: nan
2025-05-12T19:05:06.979849+0800 INFO Choice 80: nan
2025-05-12T19:05:06.979849+0800 INFO Choice 81: nan
2025-05-12T19:05:06.979849+0800 INFO Choice 82: nan
2025-05-12T19:05:06.979849+0800 INFO Choice 83: nan
2025-05-12T19:05:06.980857+0800 INFO Choice 84: nan
2025-05-12T19:05:06.980857+0800 INFO Choice 85: nan
2025-05-12T19:05:06.980857+0800 INFO Choice 86: nan
2025-05-12T19:05:06.980857+0800 INFO Choice 87: nan
2025-05-12T19:05:06.981857+0800 INFO Choice 88: nan
2025-05-12T19:05:06.981857+0800 INFO Choice 89: nan
2025-05-12T19:05:06.981857+0800 INFO Choice 90: nan
2025-05-12T19:05:06.981857+0800 INFO Choice 91: nan
2025-05-12T19:05:06.982857+0800 INFO Choice 92: nan
2025-05-12T19:05:06.982857+0800 INFO Choice 93: nan
2025-05-12T19:05:06.982857+0800 INFO Choice 94: nan
2025-05-12T19:05:06.982857+0800 INFO Choice 95: nan
2025-05-12T19:05:06.982857+0800 INFO Choice 96: nan
2025-05-12T19:05:06.982857+0800 INFO Choice 97: nan
2025-05-12T19:05:06.983860+0800 INFO Choice 98: nan
2025-05-12T19:05:06.983860+0800 INFO Choice 99: nan
2025-05-12T19:05:06.983860+0800 INFO Choice 100: nan
2025-05-12T19:05:06.983860+0800 INFO Choice 101: nan
2025-05-12T19:05:06.984857+0800 INFO Choice 102: nan
2025-05-12T19:05:06.984857+0800 INFO Choice 103: nan
2025-05-12T19:05:06.984857+0800 INFO Choice 104: nan
2025-05-12T19:05:06.984857+0800 INFO Choice 105: nan
2025-05-12T19:05:06.985857+0800 INFO Choice 106: nan
2025-05-12T19:05:06.985857+0800 INFO Choice 107: nan
2025-05-12T19:05:06.985857+0800 INFO Choice 108: nan
2025-05-12T19:05:06.985857+0800 INFO Choice 109: nan
2025-05-12T19:05:06.986859+0800 INFO Choice 110: nan
2025-05-12T19:05:06.986859+0800 INFO Choice 111: nan
2025-05-12T19:05:06.986859+0800 INFO Choice 112: nan
2025-05-12T19:05:06.986859+0800 INFO Choice 113: nan
2025-05-12T19:05:06.986859+0800 INFO Choice 114: nan
2025-05-12T19:05:06.986859+0800 INFO Choice 115: nan
2025-05-12T19:05:06.988367+0800 INFO Choice 116: nan
2025-05-12T19:05:06.988367+0800 INFO Choice 117: nan
2025-05-12T19:05:06.988367+0800 INFO Choice 118: nan
2025-05-12T19:05:06.988367+0800 INFO Choice 119: nan
2025-05-12T19:05:06.989375+0800 INFO Choice 120: nan
2025-05-12T19:05:06.989375+0800 INFO Choice 121: nan
2025-05-12T19:05:06.989375+0800 INFO Choice 122: nan
2025-05-12T19:05:06.989375+0800 INFO Choice 123: nan
2025-05-12T19:05:06.990376+0800 INFO Choice 124: nan
2025-05-12T19:05:06.990376+0800 INFO Choice 125: nan
2025-05-12T19:05:06.990376+0800 INFO Choice 126: nan
2025-05-12T19:05:06.990376+0800 INFO Choice 127: nan
2025-05-12T19:05:06.991374+0800 INFO Choice 128: nan
2025-05-12T19:05:06.991374+0800 INFO Choice 129: nan
2025-05-12T19:05:06.991374+0800 INFO Choice 130: nan
2025-05-12T19:05:06.991374+0800 INFO Choice 131: nan
2025-05-12T19:05:06.991374+0800 INFO Choice 132: nan
2025-05-12T19:05:06.992375+0800 INFO Choice 133: nan
2025-05-12T19:05:06.992375+0800 INFO Choice 134: nan
2025-05-12T19:05:06.992375+0800 INFO Choice 135: nan
2025-05-12T19:05:06.992375+0800 INFO Choice 136: nan
2025-05-12T19:05:06.993377+0800 INFO Choice 137: nan
2025-05-12T19:05:06.993778+0800 INFO Choice 138: nan
2025-05-12T19:05:06.994284+0800 INFO Choice 139: nan
2025-05-12T19:05:06.994284+0800 INFO Choice 140: nan
2025-05-12T19:05:06.994284+0800 INFO Choice 141: nan
2025-05-12T19:05:06.994824+0800 INFO Choice 142: nan
2025-05-12T19:05:06.994824+0800 INFO Choice 143: nan
2025-05-12T19:05:06.995359+0800 INFO Choice 144: nan
2025-05-12T19:05:06.995359+0800 INFO Choice 145: nan
2025-05-12T19:05:06.995891+0800 INFO Choice 146: nan
2025-05-12T19:05:06.995891+0800 INFO Choice 147: nan
2025-05-12T19:05:06.996423+0800 INFO Choice 148: nan
2025-05-12T19:05:06.996968+0800 INFO Choice 149: nan
2025-05-12T19:05:06.996968+0800 INFO Choice 150: nan
2025-05-12T19:05:06.997501+0800 INFO Choice 151: nan
2025-05-12T19:05:06.997501+0800 INFO Choice 152: nan
2025-05-12T19:05:06.998044+0800 INFO Choice 153: nan
2025-05-12T19:05:06.998574+0800 INFO Choice 154: nan
2025-05-12T19:05:06.998574+0800 INFO Choice 155: nan
2025-05-12T19:05:06.999104+0800 INFO Choice 156: nan
2025-05-12T19:05:06.999104+0800 INFO Choice 157: nan
2025-05-12T19:05:06.999747+0800 INFO Choice 158: nan
2025-05-12T19:05:06.999747+0800 INFO Choice 159: nan
2025-05-12T19:05:07.000281+0800 INFO Choice 160: nan
2025-05-12T19:05:07.000281+0800 INFO Choice 161: nan
